epoch,accuracy,dice_coef,iou_score,loss
0,0.957828045,0.306986243,0.23653394,0.55119282
1,0.978434682,0.410570353,0.329287738,0.385371745
2,0.98112154,0.495357692,0.403774053,0.307289869
3,0.98197943,0.563765943,0.466308683,0.258939922
4,0.982960939,0.620134115,0.5202775,0.224328578
5,0.984159291,0.663705409,0.563108563,0.198109537
6,0.984904528,0.691371202,0.591708541,0.182174295
7,0.985195518,0.71014899,0.611886203,0.171766922
8,0.984741271,0.720858037,0.623331904,0.167526871
9,0.985770524,0.732975841,0.637552381,0.159408033
0,0.98172152,4.72E-12,4.72E-12,0.5
1,0.889065623,9.55E-12,9.55E-12,0.5
2,0.856784523,1.72E-11,1.72E-11,0.5
3,0.835279167,3.35E-11,3.35E-11,0.5
4,0.876371741,4.84E-11,4.84E-11,0.5
5,0.880940437,7.77E-11,7.77E-11,0.5
6,0.856104553,1.21E-10,1.21E-10,0.5
7,0.883480906,1.61E-10,1.61E-10,0.5
8,0.85880214,1.95E-10,1.95E-10,0.5
9,0.794542611,2.48E-10,2.48E-10,0.5
